BJD,Norm Flux,Norm Err,AM
2460584.80602127,0.8279246,0.010498,3.61
2460584.80912236,0.8258067,0.010827,3.43
2460584.81220021,0.8527239,0.011131,3.27
2460584.81644579,0.8681828,0.011518,3.07
2460584.81764056,0.882547,0.011621,3.02
2460584.82021388,0.8883985,0.011834,2.92
2460584.82230134,0.9108528,0.011997,2.84
2460584.82647721,0.9173222,0.012304,2.69
2460584.82855336,0.9362023,0.012449,2.62
2460584.83272822,0.9530739,0.01272,2.5
2460584.83480285,0.994925,0.012848,2.44
2460584.84105498,0.9924805,0.013202,2.28
2460584.84314197,1.0,0.013311,2.23
2460584.85771872,1.0471624,0.013975,1.95
2460584.85980524,1.0628838,0.014057,1.92
2460584.86397987,1.0529274,0.014214,1.85
2460584.86605554,1.0642734,0.014288,1.82
2460584.8681422,1.0663992,0.01436,1.79
2460584.87440539,1.0826732,0.014562,1.71
2460584.87648076,1.1007939,0.014625,1.69
2460584.87855667,1.1051764,0.014686,1.66
2460584.88898026,1.126469,0.014965,1.55
2460584.89522738,1.1226214,0.015113,1.5
2460584.89731344,1.1387067,0.01516,1.48
2460584.90147351,1.1233445,0.015249,1.44
2460584.90357442,1.1463475,0.015291,1.43
2460584.9098087,1.1522454,0.015412,1.38
2460584.91189785,1.166222,0.01545,1.37
2460584.91607268,1.1658012,0.015522,1.34
2460584.92022459,1.1688218,0.015591,1.32
2460584.92231143,1.153284,0.015623,1.3
2460584.93272825,1.1628257,0.015774,1.25
2460584.93481519,1.1622399,0.015801,1.24
2460584.93897526,1.1978047,0.015854,1.22
2460584.94107354,1.1774493,0.01588,1.21
2460584.9431481,1.2089303,0.015904,1.2
2460584.94731039,1.1888363,0.015951,1.18
2460584.94939766,1.1985345,0.015974,1.18
2460584.95148482,1.1972501,0.015996,1.17
2460584.95774917,1.2218475,0.016057,1.14
2460584.9598176,1.225273,0.016077,1.14
2460584.96190436,1.2381338,0.016095,1.13
2460584.96399203,1.2502816,0.016113,1.12
2460584.9660801,1.2520126,0.016131,1.12
2460584.96816034,1.2398835,0.016148,1.11
2460584.97024766,1.2497146,0.016165,1.11
2460584.97232249,1.2397187,0.016181,1.1
2460584.9744126,1.2157516,0.016196,1.09
2460584.97648776,1.2427404,0.016211,1.09
2460584.9806512,1.2399549,0.016239,1.08
2460584.98273895,1.2552181,0.016253,1.07
2460584.9848145,1.2429396,0.016266,1.07
2460584.99106491,1.2534089,0.016302,1.06
2460584.99315245,1.2576738,0.016313,1.05
2460584.99524012,1.2599077,0.016324,1.05
2460584.99731604,1.2437185,0.016334,1.05
